Player,Tm,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Lester Quinones,GSW,8.6,.654,.800,1.200,6.2,12.0,9.2,14.2,2.6,0.0,39.6,29.4,-0.1,0.0,0.0,-0.103,-6.4,-3.7,-10.2,0.0
Julius Randle,NYK,20.3,.581,.444,.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,5.0,3.1,8.1,.142,3.9,-0.2,3.7,3.9
Austin Reaves,LAL,14.9,.687,.441,.541,2.0,9.0,5.6,15.7,0.8,0.9,14.0,16.2,4.1,1.4,5.4,.142,0.6,0.1,0.7,1.2
Cam Reddish,TOT,10.6,.561,.462,.240,2.0,8.1,5.0,8.1,1.9,1.3,12.0,17.1,0.3,0.7,0.9,.046,-2.6,-0.8,-3.4,-0.4
Davon Reed,TOT,6.2,.471,.548,.286,3.4,16.0,9.9,8.2,2.1,1.0,17.5,14.5,-0.4,0.4,0.1,.008,-5.4,0.0,-5.3,-0.3
Paul Reed,PHI,19.2,.620,.029,.244,17.8,23.1,20.5,5.3,3.0,6.3,16.3,16.4,1.2,1.6,2.8,.180,-1.6,1.5,-0.1,0.4
Naz Reid,MIN,18.5,.617,.376,.220,6.6,22.8,14.9,9.6,1.6,3.7,12.7,24.8,1.1,1.9,3.0,.114,0.3,0.8,1.0,1.0
Jared Rhoden,DET,6.5,.482,.455,.136,6.0,15.0,10.4,2.8,1.0,0.4,6.0,10.7,0.0,0.1,0.1,.027,-5.0,-1.1,-6.1,-0.2
Nick Richards,CHO,18.3,.676,.003,.585,12.6,24.0,18.2,4.5,0.4,5.1,13.0,15.6,2.7,1.5,4.2,.165,-1.0,-0.2,-1.3,0.2
Josh Richardson,TOT,12.3,.555,.529,.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,.055,-1.0,-0.1,-1.2,0.3
Austin Rivers,MIN,7.4,.564,.589,.187,0.6,8.4,4.6,9.3,1.3,0.3,9.2,10.5,0.5,0.8,1.3,.061,-3.3,0.5,-2.8,-0.2
Duncan Robinson,MIA,7.8,.534,.810,.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,.035,-3.5,-1.5,-5.0,-0.5
Mitchell Robinson,NYK,18.9,.652,.000,.436,18.4,20.0,19.2,4.5,1.7,6.5,10.9,10.1,4.0,2.6,6.5,.197,1.0,1.4,2.4,1.7
Orlando Robinson,MIA,13.4,.565,.067,.348,12.8,22.3,17.4,8.4,1.4,2.9,13.5,12.4,0.5,0.6,1.1,.129,-2.7,0.7,-2.1,0.0
Jeremiah Robinson-Earl,OKC,13.0,.548,.448,.169,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,1.9,.111,-0.8,-0.7,-1.5,0.1
Isaiah Roby,SAS,9.3,.497,.387,.265,4.7,20.6,12.3,10.7,1.8,1.2,15.2,17.8,-0.4,0.3,-0.1,-0.011,-4.0,-0.6,-4.6,-0.3
David Roddy,MEM,8.8,.519,.505,.155,4.2,12.0,8.1,6.1,1.1,1.4,11.3,16.7,-0.3,1.4,1.1,.043,-3.2,-0.7,-3.9,-0.6
Ryan Rollins,GSW,-1.4,.508,.450,.300,5.4,15.7,10.6,12.4,0.8,1.4,41.4,26.1,-0.3,0.1,-0.3,-0.218,-11.3,-3.7,-15.0,-0.2
Derrick Rose,NYK,10.1,.463,.396,.075,2.6,10.4,6.5,19.9,1.0,1.4,11.8,23.6,-0.3,0.3,0.0,-0.001,-2.2,-1.5,-3.7,-0.1
Terrence Ross,TOT,10.2,.544,.555,.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,.059,-1.8,-0.3,-2.1,0.0
Terry Rozier,CHO,14.7,.517,.425,.185,2.4,10.2,6.2,22.7,1.6,0.6,9.4,26.9,0.1,1.6,1.7,.037,0.6,-1.1,-0.6,0.8
Ricky Rubio,CLE,10.4,.442,.461,.197,1.9,12.7,7.3,27.1,2.3,1.0,13.8,17.7,-0.2,0.9,0.7,.062,-3.8,1.1,-2.8,-0.1
D'Angelo Russell,TOT,16.3,.605,.517,.228,1.7,8.5,5.2,27.4,1.4,1.1,15.1,22.7,3.1,1.9,5.1,.106,2.1,-0.7,1.5,2.0
Matt Ryan,TOT,8.1,.538,.778,.111,1.4,7.6,4.6,6.9,0.8,0.3,5.8,16.5,0.1,0.2,0.3,.044,-1.9,-1.5,-3.4,-0.1
Domantas Sabonis,SAC,23.5,.668,.088,.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3.0,12.6,.221,4.1,1.8,5.8,5.4
Luka Šamanić,UTA,11.0,.550,.544,.228,0.0,19.9,10.1,13.0,1.8,1.1,13.8,18.9,0.0,0.2,0.2,.045,-3.2,1.1,-2.1,0.0
Dario Šarić,TOT,13.5,.583,.415,.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1.0,1.7,.099,-1.5,0.1,-1.4,0.1
Olivier Sarr,OKC,11.5,.544,.267,.233,11.1,18.2,14.6,4.6,0.4,4.1,10.8,13.6,0.1,0.1,0.2,.094,-4.2,-0.7,-4.9,-0.1
Jordan Schakel,WAS,24.3,.750,.500,.000,0.0,0.0,0.0,23.5,8.1,0.0,0.0,14.5,0.0,0.0,0.0,.314,7.7,9.3,17.0,0.0
Admiral Schofield,ORL,10.1,.587,.607,.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,.089,-2.2,-0.7,-2.9,-0.1
Dennis Schröder,LAL,11.5,.545,.346,.388,1.2,7.5,4.4,20.1,1.2,0.4,12.8,18.6,1.3,1.5,2.8,.068,-2.4,-0.5,-2.9,-0.4
Jay Scrubb,ORL,14.2,.825,.286,.286,0.0,22.7,11.3,5.0,3.2,0.0,27.6,15.6,0.0,0.0,0.1,.083,-2.9,1.0,-1.9,0.0
Dereon Seabron,NOP,4.6,.400,.000,.000,9.5,0.0,4.7,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,-0.034,-6.6,-4.7,-11.3,0.0
Alperen Şengün,HOU,19.7,.599,.071,.360,12.1,22.3,17.1,21.0,1.6,3.2,17.3,21.4,3.4,1.8,5.2,.115,1.1,0.4,1.4,1.9
Collin Sexton,UTA,15.9,.616,.261,.425,3.5,6.3,5.0,17.9,1.1,0.4,13.3,23.4,2.0,0.5,2.5,.105,0.1,-1.5,-1.3,0.2
Landry Shamet,PHO,10.9,.537,.663,.170,1.5,7.9,4.6,15.7,1.6,0.6,10.0,18.9,0.5,0.7,1.2,.071,-1.1,-0.3,-1.4,0.1
Day'Ron Sharpe,BRK,17.8,.581,.064,.322,20.6,20.1,20.4,9.7,1.3,5.0,17.7,19.0,0.8,0.8,1.6,.139,-1.8,-0.6,-2.3,0.0
Shaedon Sharpe,POR,11.5,.568,.437,.162,4.0,11.3,7.6,7.9,1.0,1.2,10.7,19.0,0.6,0.6,1.2,.032,-1.3,-2.0,-3.3,-0.6
Pascal Siakam,TOR,20.3,.565,.219,.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,.141,3.3,-0.1,3.1,3.4
Chris Silva,DAL,-2.2,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.1,0.0,0.0,0.0,-0.260,-22.5,-0.1,-22.6,0.0
Ben Simmons,BRK,13.4,.559,.009,.243,4.2,22.2,13.4,31.3,2.4,1.9,27.2,14.3,0.5,1.7,2.2,.097,-2.2,2.6,0.4,0.7
Kobi Simmons,CHO,9.0,.363,.833,.333,3.7,11.7,7.6,21.8,0.0,6.2,12.7,11.8,0.0,0.0,0.0,.019,-1.0,0.1,-0.9,0.0
Marko Simonovic,CHI,-0.1,.381,.571,.286,5.8,5.6,5.7,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,-0.052,-10.5,-3.8,-14.4,-0.1
Anfernee Simons,POR,14.8,.581,.538,.171,0.9,7.6,4.3,18.6,0.9,0.6,10.2,25.1,2.1,0.3,2.5,.054,1.3,-2.5,-1.1,0.5
Jericho Sims,NYK,13.8,.780,.009,.150,13.3,19.4,16.4,4.0,0.9,3.2,19.1,7.4,1.6,0.9,2.6,.153,-1.0,0.5,-0.5,0.3
Marcus Smart,BOS,12.1,.538,.568,.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,.092,-1.8,0.8,-1.0,0.5
Dennis Smith Jr.,CHO,11.6,.475,.246,.235,2.0,11.0,6.4,26.1,2.6,1.6,14.1,17.6,-0.4,1.5,1.1,.039,-3.5,1.2,-2.2,-0.1
Dru Smith,TOT,11.4,.475,.422,.067,1.4,15.9,8.7,19.3,3.1,2.5,6.1,13.8,0.1,0.3,0.3,.099,-3.8,2.9,-0.9,0.0
Ish Smith,DEN,6.5,.407,.092,.031,1.5,13.8,7.8,32.5,1.0,1.6,24.9,19.3,-0.8,0.4,-0.5,-0.056,-5.5,-1.1,-6.6,-0.5
Jabari Smith Jr.,HOU,11.2,.514,.438,.231,5.4,20.3,12.7,5.9,0.9,3.0,9.6,18.4,0.5,1.4,1.9,.037,-2.3,-1.3,-3.7,-1.1
Jalen Smith,IND,15.9,.565,.376,.270,11.2,22.9,17.1,7.6,0.8,4.0,11.2,21.0,1.1,1.1,2.3,.085,-0.9,-1.1,-2.1,0.0
Xavier Sneed,CHO,9.5,.723,.600,.400,0.0,11.3,5.6,13.9,0.0,1.8,20.3,12.9,0.1,0.0,0.1,.086,-3.1,-0.4,-3.6,0.0
Jeremy Sochan,SAS,11.4,.509,.243,.210,6.9,15.6,11.0,13.6,1.4,1.3,13.9,19.8,-0.5,0.7,0.2,.005,-2.8,-1.2,-4.0,-0.7
Jaden Springer,PHI,17.2,.545,.143,.229,8.1,10.4,9.3,13.8,3.9,3.1,7.2,20.8,0.1,0.2,0.3,.145,-2.6,2.9,0.3,0.1
Lamar Stevens,CLE,9.5,.524,.330,.198,5.0,16.7,10.9,4.0,1.2,1.6,7.9,13.6,0.3,1.6,1.9,.080,-3.0,0.2,-2.8,-0.2
Isaiah Stewart,DET,13.1,.560,.465,.338,8.7,23.3,15.8,7.3,0.7,2.1,11.8,17.3,1.1,0.9,2.0,.068,-1.0,-1.1,-2.1,0.0
Max Strus,MIA,10.8,.557,.713,.113,2.4,11.2,6.7,11.2,0.9,0.5,7.8,17.6,1.5,1.9,3.4,.071,-0.8,-0.9,-1.7,0.2
Jalen Suggs,ORL,12.5,.528,.455,.268,5.0,9.6,7.3,18.0,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,.053,-1.8,0.8,-1.0,0.3
Edmond Sumner,BRK,14.0,.597,.323,.401,2.0,9.9,6.0,13.3,2.1,1.2,13.6,22.1,0.6,0.7,1.3,.086,-2.4,-0.2,-2.6,-0.1
Cole Swider,LAL,7.4,.500,.889,.000,2.7,15.2,9.1,12.0,0.0,0.0,0.0,9.3,0.0,0.0,0.1,.080,-2.9,-0.5,-3.4,0.0
Jae'Sean Tate,HOU,12.2,.546,.201,.301,6.6,12.6,9.6,18.2,1.5,1.0,15.3,18.8,0.4,0.3,0.7,.049,-2.8,-0.7,-3.5,-0.3
Jayson Tatum,BOS,23.7,.607,.440,.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,.185,4.8,0.7,5.5,5.1
Terry Taylor,TOT,11.0,.557,.253,.147,11.4,8.4,9.9,5.1,0.5,2.0,10.1,14.2,0.2,0.1,0.3,.054,-2.3,-1.8,-4.1,-0.1
Garrett Temple,NOP,10.5,.535,.578,.089,3.5,8.4,5.9,10.6,2.7,1.2,7.9,13.4,0.1,0.2,0.3,.094,-2.5,1.6,-1.0,0.0
Dalen Terry,CHI,14.1,.523,.375,.292,6.5,13.0,9.8,14.1,2.5,2.3,9.0,18.4,0.1,0.3,0.5,.105,-1.7,1.7,0.0,0.1
Daniel Theis,IND,14.2,.497,.250,.273,7.1,15.2,11.2,12.2,0.9,4.7,5.7,20.1,0.0,0.1,0.1,.046,-0.9,-0.5,-1.4,0.0
Cam Thomas,BRK,14.7,.567,.292,.382,1.0,10.1,5.6,12.7,1.0,0.6,10.6,27.8,0.3,0.7,1.0,.049,-0.7,-2.0,-2.7,-0.2
Klay Thompson,GSW,14.7,.576,.584,.105,1.9,11.7,6.9,11.0,1.0,1.1,8.6,26.4,1.2,1.9,3.1,.066,1.5,-1.7,-0.3,1.0
JT Thor,CHO,7.0,.506,.517,.197,3.9,13.0,8.4,4.9,1.1,2.1,14.5,13.1,-0.6,0.8,0.2,.009,-4.3,-0.4,-4.7,-0.7
Matisse Thybulle,TOT,10.5,.552,.585,.111,3.9,9.7,6.8,5.9,3.4,2.4,8.3,10.6,0.6,1.5,2.1,.086,-2.7,2.2,-0.5,0.4
Xavier Tillman Sr.,MEM,17.3,.621,.049,.291,10.9,16.7,13.8,10.9,2.3,2.2,11.3,13.7,2.3,1.9,4.2,.171,0.3,1.7,1.9,1.2
Isaiah Todd,WAS,-1.0,.226,.526,.105,3.8,17.6,10.9,7.9,0.8,0.0,9.1,15.6,-0.2,0.0,-0.2,-0.147,-10.3,-3.9,-14.2,-0.2
Obi Toppin,NYK,13.6,.565,.589,.112,3.0,16.6,9.8,9.2,1.1,1.1,8.0,19.5,1.1,1.0,2.1,.095,0.3,-0.8,-0.5,0.4
Juan Toscano-Anderson,TOT,7.2,.505,.301,.168,4.4,14.4,9.5,11.8,1.1,1.2,18.1,11.3,-0.1,0.6,0.5,.038,-4.6,0.8,-3.8,-0.3
Karl-Anthony Towns,MIN,18.8,.618,.383,.315,5.7,21.6,13.8,22.0,1.0,1.5,15.0,25.6,1.5,1.1,2.7,.133,2.1,0.9,3.0,1.2
Gary Trent Jr.,TOR,15.0,.560,.481,.219,1.5,8.2,4.6,7.4,2.4,0.6,5.1,21.7,2.5,2.0,4.5,.102,0.2,0.0,0.2,1.2
P.J. Tucker,PHI,5.7,.566,.622,.102,5.9,12.1,9.1,3.9,1.0,0.7,15.8,6.5,0.9,1.7,2.5,.064,-3.2,0.2,-3.0,-0.5
Myles Turner,IND,20.0,.651,.340,.377,5.4,22.9,14.2,7.5,0.9,6.6,10.8,22.0,3.4,2.0,5.4,.142,1.4,0.7,2.1,1.9
Stanley Umude,DET,65.6,.532,1.000,2.000,0.0,0.0,0.0,0.0,24.2,44.1,0.0,40.0,0.0,0.0,0.0,.626,15.9,32.7,48.6,0.0
Jonas Valančiūnas,NOP,19.3,.610,.134,.275,13.0,33.3,23.1,11.1,0.5,2.5,14.8,23.4,2.8,3.0,5.8,.142,0.0,-0.4,-0.4,0.8
Jarred Vanderbilt,TOT,15.1,.604,.200,.308,10.0,23.2,16.7,13.1,2.1,0.9,15.9,13.6,2.7,2.5,5.2,.132,-0.6,1.6,1.1,1.5
Fred VanVleet,TOR,17.0,.540,.545,.254,1.2,12.0,6.3,28.1,2.4,1.5,10.2,23.2,3.7,2.8,6.5,.123,2.0,0.5,2.5,2.9
Devin Vassell,SAS,15.5,.550,.447,.168,0.7,13.5,6.9,17.3,1.7,1.2,8.2,24.4,0.7,0.5,1.2,.051,1.3,-0.9,0.4,0.7
Gabe Vincent,MIA,9.0,.533,.617,.138,1.7,8.1,4.8,13.9,1.8,0.3,13.3,17.5,-0.3,1.7,1.4,.038,-3.1,-0.3,-3.4,-0.6
Noah Vonleh,BOS,5.9,.502,.167,.083,11.7,18.8,15.3,5.1,0.6,4.0,30.7,9.2,0.0,0.3,0.2,.060,-7.0,0.7,-6.3,-0.2
Nikola Vučević,CHI,19.1,.594,.302,.138,6.7,30.2,18.6,14.6,1.1,2.0,10.2,21.9,3.9,4.4,8.3,.145,1.9,0.7,2.7,3.2
Dean Wade,CLE,8.5,.550,.718,.130,2.6,17.2,9.9,5.4,1.6,2.2,8.3,10.2,0.4,1.4,1.8,.097,-2.9,2.1,-0.7,0.3
Franz Wagner,ORL,15.9,.589,.322,.288,3.0,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,.099,0.4,-0.5,-0.1,1.3
Moritz Wagner,ORL,17.4,.630,.412,.460,7.0,19.4,13.2,11.5,1.6,1.1,12.5,21.1,2.1,1.3,3.4,.149,0.4,0.2,0.6,0.7
Ish Wainright,PHO,9.2,.522,.762,.137,5.3,11.6,8.4,7.4,2.0,2.2,8.4,12.2,0.5,1.2,1.7,.089,-2.7,1.5,-1.2,0.2
Jabari Walker,POR,9.6,.496,.283,.227,8.8,15.5,12.2,7.8,0.8,1.9,11.8,17.3,-0.1,0.3,0.2,.015,-3.9,-2.1,-6.1,-0.6
Kemba Walker,DAL,15.0,.543,.491,.368,2.4,10.6,6.5,20.1,0.7,1.2,5.7,22.1,0.2,0.1,0.3,.098,0.3,-0.6,-0.3,0.1
Lonnie Walker IV,LAL,12.2,.570,.472,.201,1.2,7.6,4.5,7.0,1.1,1.1,7.4,20.2,0.8,1.0,1.8,.066,-0.9,-0.5,-1.4,0.2
John Wall,LAC,13.6,.498,.322,.334,2.1,11.4,6.8,35.3,1.8,1.4,17.1,27.0,-0.4,0.7,0.3,.020,-0.8,-0.4,-1.2,0.1
T.J. Warren,TOT,13.5,.550,.248,.130,4.2,15.4,9.8,8.7,1.6,1.5,6.5,19.5,0.4,0.8,1.2,.081,-1.7,-0.2,-2.0,0.0
Duane Washington Jr.,PHO,9.3,.458,.434,.094,0.6,9.8,5.1,25.2,0.7,0.9,11.3,32.5,-0.8,0.3,-0.5,-0.065,-1.8,-2.8,-4.6,-0.3
P.J. Washington,CHO,12.9,.542,.438,.178,3.2,13.0,8.0,11.0,1.3,2.9,9.4,20.6,0.4,2.2,2.6,.052,-1.0,-0.3,-1.3,0.4
TyTy Washington Jr.,HOU,7.5,.432,.500,.113,0.5,11.0,5.7,15.3,1.7,0.5,7.7,17.4,-0.3,0.1,-0.1,-0.016,-5.0,-1.3,-6.3,-0.5
Yuta Watanabe,BRK,12.1,.637,.582,.203,3.7,13.1,8.5,7.0,1.3,1.6,8.0,13.1,1.3,0.9,2.1,.111,-0.4,-0.2,-0.6,0.3
Lindy Waters III,OKC,11.8,.573,.910,.112,3.2,12.2,7.6,7.0,1.3,1.9,5.1,15.5,0.6,0.5,1.1,.101,0.5,-0.4,0.1,0.3
Trendon Watford,POR,13.6,.625,.198,.310,4.1,19.2,11.6,16.0,1.3,0.9,16.2,16.1,1.3,0.7,2.1,.084,-1.4,-0.4,-1.8,0.1
Peyton Watson,DEN,12.8,.553,.237,.339,5.1,17.4,11.4,7.9,0.5,5.2,10.6,17.7,0.1,0.2,0.3,.073,-2.7,-0.1,-2.8,0.0
Blake Wesley,SAS,3.5,.393,.242,.205,1.7,11.9,6.6,18.8,1.8,0.6,21.7,18.5,-1.9,0.3,-1.6,-0.114,-7.9,-1.8,-9.6,-1.3
Russell Westbrook,TOT,16.1,.513,.289,.317,4.7,16.5,10.8,38.6,1.7,1.3,18.4,27.7,-0.6,2.6,1.9,.044,0.3,-0.1,0.2,1.2
Coby White,CHI,12.5,.572,.579,.118,1.1,12.6,6.9,16.3,1.5,0.3,10.6,17.9,1.2,1.9,3.1,.087,-1.0,0.2,-0.8,0.5
Derrick White,BOS,15.4,.604,.516,.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,.154,1.1,1.3,2.4,2.6
Jack White,DEN,12.6,.517,.474,.158,10.7,18.6,14.8,7.7,2.2,2.7,9.0,14.7,0.1,0.1,0.1,.108,-2.6,0.7,-1.9,0.0
Joe Wieskamp,TOR,-0.4,.321,.857,.000,0.0,9.8,4.5,7.4,0.0,0.0,6.7,12.8,-0.1,0.0,-0.1,-0.076,-7.0,-3.6,-10.6,-0.1
Aaron Wiggins,OKC,12.2,.607,.336,.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,.097,-1.5,-0.5,-2.1,0.0
Andrew Wiggins,GSW,14.7,.564,.425,.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1.0,1.3,2.3,.091,-0.1,-0.4,-0.5,0.5
Lindell Wigginton,MIL,11.8,.610,.486,.243,0.0,8.1,4.2,23.8,0.0,1.9,22.7,25.6,0.0,0.1,0.1,.028,-3.1,-3.6,-6.7,-0.1
Alondes Williams,BRK,-20.9,,,,0.0,22.0,11.2,0.0,0.0,0.0,100.0,17.7,-0.1,0.0,-0.1,-0.517,-21.3,-5.2,-26.5,0.0
Donovan Williams,ATL,14.5,.400,.400,.000,0.0,55.4,27.4,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,-0.225,-9.1,-6.1,-15.2,0.0
Grant Williams,BOS,10.3,.605,.611,.256,4.7,14.5,9.7,8.4,1.0,1.3,13.4,13.1,1.9,2.6,4.4,.104,-1.8,0.7,-1.1,0.5
Jalen Williams,OKC,15.6,.601,.258,.241,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3.0,2.6,5.6,.119,-0.4,0.7,0.3,1.3
Jaylin Williams,OKC,11.2,.559,.483,.231,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,1.9,.099,-2.3,0.6,-1.7,0.1
Jeenathan Williams,POR,15.5,.657,.205,.077,9.0,4.6,6.8,12.1,1.2,1.4,9.0,15.2,0.3,0.0,0.3,.120,-1.0,-2.1,-3.0,0.0
Kenrich Williams,OKC,14.4,.585,.387,.113,8.5,14.9,11.6,11.7,1.8,1.1,8.1,13.7,2.0,1.3,3.3,.133,0.1,0.4,0.5,0.8
Mark Williams,CHO,19.8,.659,.000,.386,11.7,27.7,19.6,3.3,1.6,4.7,12.0,17.0,1.5,1.3,2.8,.163,-0.5,0.6,0.1,0.4
Patrick Williams,CHI,11.2,.576,.409,.155,3.9,12.0,8.0,5.8,1.5,2.9,12.3,15.7,0.5,3.0,3.5,.072,-1.7,0.4,-1.3,0.4
Robert Williams,BOS,19.8,.742,.006,.241,14.0,24.5,19.3,8.5,1.3,5.0,15.3,11.8,2.3,1.6,3.8,.224,1.0,2.4,3.3,1.1
Vince Williams Jr.,MEM,3.9,.367,.700,.050,4.0,11.1,7.6,4.8,2.7,1.7,10.9,18.1,-0.3,0.2,-0.1,-0.049,-8.3,-0.2,-8.5,-0.2
Ziaire Williams,MEM,7.4,.511,.495,.112,3.0,11.9,7.5,8.2,1.2,1.0,15.2,18.0,-0.5,0.6,0.1,.011,-4.7,-0.8,-5.6,-0.5
Zion Williamson,NOP,25.2,.652,.041,.529,6.9,17.0,12.0,24.4,1.6,1.6,14.6,30.4,2.3,1.2,3.6,.180,4.8,1.0,5.8,1.9
Dylan Windler,CLE,19.0,.833,.667,.000,0.0,0.0,0.0,15.2,5.0,0.0,25.0,17.9,0.0,0.0,0.0,.149,3.2,3.5,6.7,0.0
Justise Winslow,POR,9.3,.466,.227,.141,7.2,14.3,10.7,17.2,1.9,1.3,17.0,14.2,-0.1,0.5,0.4,.022,-3.4,0.6,-2.8,-0.2
James Wiseman,TOT,15.6,.589,.059,.286,9.2,25.2,17.0,5.5,0.4,2.7,11.8,21.2,0.7,0.7,1.4,.077,-2.1,-1.4,-3.5,-0.3
Christian Wood,DAL,20.6,.624,.363,.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,.132,1.9,-0.3,1.7,1.6
Delon Wright,WAS,16.3,.581,.409,.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,.146,0.4,3.1,3.4,1.7
McKinley Wright IV,DAL,12.4,.536,.286,.194,3.1,13.4,8.2,25.2,1.2,1.3,15.2,16.9,0.2,0.2,0.5,.069,-1.9,-0.8,-2.7,-0.1
Gabe York,IND,11.8,.548,.857,.095,0.0,11.9,5.9,12.3,1.7,0.0,0.0,16.4,0.1,0.0,0.1,.091,-1.7,-1.8,-3.5,0.0
Thaddeus Young,TOR,14.1,.573,.172,.131,9.4,14.6,11.8,12.9,3.4,0.6,16.7,13.5,0.7,1.1,1.8,.109,-1.8,1.9,0.1,0.4
Trae Young,ATL,22.0,.573,.331,.460,2.4,7.0,4.7,42.5,1.5,0.3,15.2,32.6,5.3,1.4,6.7,.126,5.3,-2.0,3.3,3.4
Omer Yurtseven,MIA,16.7,.675,.259,.222,10.9,21.9,16.2,3.9,1.2,2.5,11.9,18.0,0.2,0.1,0.3,.159,-2.5,-1.5,-3.9,0.0
Cody Zeller,MIA,16.4,.659,.034,.593,13.0,21.8,17.3,7.2,0.7,1.9,15.8,18.1,0.4,0.3,0.7,.147,-2.0,-0.7,-2.8,0.0
Ivica Zubac,LAC,16.7,.661,.004,.463,12.3,26.5,19.5,5.1,0.7,4.0,15.9,14.8,3.8,2.9,6.7,.149,-1.1,0.2,-0.9,0.6
