Player,Tm,2023-24
Stephen Curry,GSW,"$51,915,615"
Kevin Durant,PHO,"$47,649,433"
Nikola Jokić,DEN,"$47,607,350"
Joel Embiid,PHI,"$47,607,350"
LeBron James,LAL,"$47,607,350"
Bradley Beal,PHO,"$46,741,590"
Damian Lillard,POR,"$45,640,084"
Giannis Antetokounmpo,MIL,"$45,640,084"
Kawhi Leonard,LAC,"$45,640,084"
Paul George,LAC,"$45,640,084"
Jimmy Butler,MIA,"$45,183,960"
Klay Thompson,GSW,"$43,219,440"
Rudy Gobert,MIN,"$41,000,000"
Fred VanVleet,HOU,"$40,806,300"
Anthony Davis,LAL,"$40,600,080"
Trae Young,ATL,"$40,064,220"
Luka Dončić,DAL,"$40,064,220"
Zach LaVine,CHI,"$40,064,220"
Tobias Harris,PHI,"$39,270,150"
Ben Simmons,BRK,"$37,893,408"
Pascal Siakam,TOR,"$37,893,408"
Kyrie Irving,DAL,"$37,037,037"
Jrue Holiday,MIL,"$36,861,707"
Devin Booker,PHO,"$36,016,200"
Karl-Anthony Towns,MIN,"$36,016,200"
Kristaps Porziņģis,BOS,"$36,016,200"
CJ McCollum,NOP,"$35,802,469"
James Harden,PHI,"$35,640,000"
Zion Williamson,NOP,"$34,005,250"
Ja Morant,MEM,"$34,005,250"
Darius Garland,CLE,"$34,005,250"
Brandon Ingram,NOP,"$33,833,400"
Jamal Murray,DEN,"$33,833,400"
Shai Gilgeous-Alexander,OKC,"$33,386,850"
Michael Porter Jr.,DEN,"$33,386,850"
Donovan Mitchell,CLE,"$33,162,030"
De'Aaron Fox,SAC,"$32,600,060"
Bam Adebayo,MIA,"$32,600,060"
Jayson Tatum,BOS,"$32,600,060"
Deandre Ayton,PHO,"$32,459,438"
Jaylen Brown,BOS,"$31,830,357"
Gordon Hayward,CHO,"$31,500,000"
Chris Paul,GSW,"$30,800,000"
Domantas Sabonis,SAC,"$30,600,000"
Kyle Lowry,MIA,"$29,682,540"
Khris Middleton,MIL,"$29,320,988"
DeMar DeRozan,CHI,"$28,600,000"
Julius Randle,NYK,"$28,226,880"
Jerami Grant,POR,"$27,586,207"
Jordan Poole,WAS,"$27,455,357"
Jaren Jackson Jr.,MEM,"$27,102,202"
Tyler Herro,MIA,"$27,000,000"
Jalen Brunson,NYK,"$26,346,666"
Cameron Johnson,BRK,"$25,679,348"
Kyle Kuzma,WAS,"$25,568,182"
John Collins,UTA,"$25,340,000"
Brook Lopez,MIL,"$25,000,000"
Mike Conley,MIN,"$24,360,000"
Andrew Wiggins,GSW,"$24,330,357"
Anfernee Simons,POR,"$24,107,143"
RJ Barrett,NYK,"$23,883,929"
Jordan Clarkson,UTA,"$23,487,629"
Terry Rozier,CHO,"$23,205,221"
Dillon Brooks,HOU,"$22,627,671"
Malcolm Brogdon,BOS,"$22,500,000"
Draymond Green,GSW,"$22,321,429"
Aaron Gordon,DEN,"$22,266,182"
Bruce Brown,IND,"$22,000,000"
Mikal Bridges,BRK,"$21,700,000"
Myles Turner,IND,"$20,975,000"
Clint Capela,ATL,"$20,616,000"
Lonzo Ball,CHI,"$20,465,117"
Spencer Dinwiddie,BRK,"$20,357,143"
De'Andre Hunter,ATL,"$20,089,286"
Keldon Johnson,SAS,"$20,000,000"
Jarrett Allen,CLE,"$20,000,000"
Bojan Bogdanović,DET,"$20,000,000"
Joe Harris,DET,"$19,928,571"
Jakob Poeltl,TOR,"$19,500,000"
Buddy Hield,IND,"$19,279,841"
Evan Fournier,NYK,"$18,857,143"
Marcus Smart,MEM,"$18,833,713"
Bogdan Bogdanović,ATL,"$18,700,000"
OG Anunoby,TOR,"$18,642,857"
Gary Trent Jr.,TOR,"$18,560,000"
Nikola Vučević,CHI,"$18,518,519"
Derrick White,BOS,"$18,357,143"
Dejounte Murray,ATL,"$18,214,000"
Duncan Robinson,MIA,"$18,154,000"
Norman Powell,LAC,"$18,000,000"
Tim Hardaway Jr.,DAL,"$17,897,728"
Jonathan Isaac,ORL,"$17,400,000"
Collin Sexton,UTA,"$17,325,000"
D'Angelo Russell,LAL,"$17,307,693"
Lauri Markkanen,UTA,"$17,259,999"
Marcus Morris,LAC,"$17,116,279"
Harrison Barnes,SAC,"$17,000,000"
Dāvis Bertāns,OKC,"$17,000,000"
Markelle Fultz,ORL,"$17,000,000"
Jusuf Nurkić,POR,"$16,875,000"
Kevin Porter Jr.,HOU,"$15,860,000"
Rui Hachimura,LAL,"$15,740,741"
Mitchell Robinson,NYK,"$15,681,818"
Kevin Huerter,SAC,"$15,669,643"
Jonas Valančiūnas,NOP,"$15,435,000"
Caris LeVert,CLE,"$15,384,616"
Luguentz Dort,OKC,"$15,277,778"
Luke Kennard,MEM,"$14,763,636"
Kentavious Caldwell-Pope,DEN,"$14,704,938"
Max Strus,CLE,"$14,487,684"
Tyus Jones,WAS,"$14,000,000"
Dorian Finney-Smith,BRK,"$13,932,008"
Doug McDermott,SAS,"$13,750,000"
Anthony Edwards,MIN,"$13,534,817"
Wendell Carter Jr.,ORL,"$13,050,000"
Gary Harris,ORL,"$13,000,000"
Josh Hart,NYK,"$12,960,000"
Naz Reid,MIN,"$12,950,400"
Steven Adams,MEM,"$12,600,000"
Brandon Clarke,MEM,"$12,500,000"
Marvin Bagley III,DET,"$12,500,000"
Grant Williams,DAL,"$12,405,000"
Dennis Schröder,TOR,"$12,405,000"
Daniel Gafford,WAS,"$12,402,000"
Kelly Olynyk,UTA,"$12,195,122"
Victor Wembanyama,SAS,"$12,160,680"
James Wiseman,DET,"$12,119,440"
Devonte' Graham,SAS,"$12,100,000"
Richaun Holmes,DAL,"$12,046,020"
Herbert Jones,NOP,"$12,015,150"
Austin Reaves,LAL,"$12,015,150"
Chris Boucher,TOR,"$11,750,000"
Bobby Portis,MIL,"$11,710,818"
Nicolas Batum,LAC,"$11,710,818"
Robert Covington,LAC,"$11,692,308"
Paolo Banchero,ORL,"$11,608,080"
Robert Williams,BOS,"$11,571,429"
Coby White,CHI,"$11,111,111"
Cade Cunningham,DET,"$11,055,360"
Talen Horton-Tucker,UTA,"$11,020,000"
P.J. Tucker,PHI,"$11,014,500"
Reggie Bullock,SAS,"$11,014,080"
Maxi Kleber,DAL,"$11,000,000"
Joe Ingles,ORL,"$11,000,000"
Ivica Zubac,LAC,"$10,933,333"
LaMelo Ball,CHO,"$10,900,635"
Donte DiVincenzo,NYK,"$10,900,000"
Brandon Miller,CHO,"$10,880,400"
Terance Mann,LAC,"$10,576,923"
Gabe Vincent,LAL,"$10,500,000"
Matisse Thybulle,POR,"$10,500,000"
Alec Burks,DET,"$10,489,600"
Chet Holmgren,OKC,"$10,386,000"
Larry Nance Jr.,NOP,"$10,375,000"
Landry Shamet,WAS,"$10,250,000"
Al Horford,BOS,"$10,000,000"
Malik Monk,SAC,"$9,945,830"
Tre Jones,SAS,"$9,895,833"
Jalen Green,HOU,"$9,891,480"
Patrick Williams,CHI,"$9,835,881"
Monte Morris,DET,"$9,800,926"
Scoot Henderson,POR,"$9,770,880"
Nic Claxton,BRK,"$9,625,000"
Jeff Green,HOU,"$9,600,000"
Royce O'Neale,BRK,"$9,500,000"
Alex Caruso,CHI,"$9,460,000"
Victor Oladipo,OKC,"$9,450,000"
Pat Connaughton,MIL,"$9,423,869"
Jabari Smith Jr.,HOU,"$9,326,520"
Isaiah Hartenstein,NYK,"$9,245,121"
Kyle Anderson,MIN,"$9,219,512"
Daniel Theis,IND,"$9,108,387"
Grayson Allen,MIL,"$8,925,000"
Isaac Okoro,CLE,"$8,920,795"
Evan Mobley,CLE,"$8,882,640"
Amen Thompson,HOU,"$8,809,320"
Georges Niang,CLE,"$8,800,000"
Gary Payton II,GSW,"$8,715,000"
T.J. McConnell,IND,"$8,700,000"
Keegan Murray,SAC,"$8,409,000"
Delon Wright,WAS,"$8,195,122"
Onyeka Okongwu,ATL,"$8,109,063"
Scottie Barnes,TOR,"$8,008,680"
Jock Landale,HOU,"$8,000,000"
Trey Lyles,SAC,"$8,000,000"
De'Anthony Melton,PHI,"$8,000,000"
Moritz Wagner,ORL,"$8,000,000"
Thaddeus Young,TOR,"$8,000,000"
Ausar Thompson,DET,"$7,977,480"
Miles Bridges,CHO,"$7,921,300"
Vasilije Micić,OKC,"$7,723,000"
Paul Reed,PHI,"$7,723,000"
Zach Collins,SAS,"$7,700,000"
Jaden Ivey,DET,"$7,614,480"
Cody Martin,CHO,"$7,560,000"
Kevon Looney,GSW,"$7,500,000"
Killian Hayes,DET,"$7,413,955"
Jalen Suggs,ORL,"$7,252,080"
Anthony Black,ORL,"$7,245,480"
Khem Birch,SAS,"$6,985,000"
Bennedict Mathurin,IND,"$6,916,080"
Obi Toppin,IND,"$6,803,012"
Caleb Martin,MIA,"$6,802,950"
Danilo Gallinari,WAS,"$6,802,950"
John Wall,HOU,"$6,802,950"
Patty Mills,ATL,"$6,802,950"
Cedi Osman,SAS,"$6,718,842"
Bilal Coulibaly,WAS,"$6,614,280"
Josh Giddey,OKC,"$6,587,040"
Cameron Payne,SAS,"$6,500,000"
Jae'Sean Tate,HOU,"$6,500,000"
Ayo Dosunmu,CHI,"$6,481,482"
Rudy Gay,OKC,"$6,479,000"
Sasha Vezenkov,SAC,"$6,341,464"
Shaedon Sharpe,POR,"$6,313,800"
Otto Porter Jr.,TOR,"$6,300,000"
Deni Avdija,WAS,"$6,263,188"
Nassir Little,POR,"$6,250,000"
Jevon Carter,CHI,"$6,190,476"
Kenrich Williams,OKC,"$6,175,000"
Ricky Rubio,CLE,"$6,146,342"
Jarace Walker,IND,"$6,059,520"
Jonathan Kuminga,GSW,"$6,012,840"
Devin Vassell,SAS,"$5,887,899"
Tyrese Haliburton,IND,"$5,808,435"
Dyson Daniels,NOP,"$5,784,120"
JaVale McGee,DAL,"$5,734,280"
Kira Lewis Jr.,NOP,"$5,722,116"
Dean Wade,CLE,"$5,709,877"
Aaron Nesmith,IND,"$5,634,257"
Taylor Hendricks,UTA,"$5,569,920"
Cole Anthony,ORL,"$5,539,771"
Franz Wagner,ORL,"$5,508,720"
Garrett Temple,TOR,"$5,401,000"
Furkan Korkmaz,PHI,"$5,370,370"
Jeremy Sochan,SAS,"$5,316,960"
Cason Wallace,OKC,"$5,291,400"
Isaiah Stewart,DET,"$5,266,713"
Chuma Okeke,ORL,"$5,266,713"
Davion Mitchell,SAC,"$5,063,640"
Johnny Davis,WAS,"$5,050,800"
Jalen Smith,IND,"$5,043,773"
Jett Howard,ORL,"$5,026,800"
Aleksej Pokusevski,OKC,"$5,009,633"
Nick Richards,CHO,"$5,000,000"
Shake Milton,MIN,"$5,000,000"
Mason Plumlee,LAC,"$5,000,000"
Reggie Jackson,DEN,"$5,000,000"
Ziaire Williams,MEM,"$4,810,200"
Ousmane Dieng,OKC,"$4,798,440"
Dereck Lively II,DAL,"$4,775,640"
Josh Green,DAL,"$4,765,339"
Jarred Vanderbilt,LAL,"$4,698,000"
Nickeil Alexander-Walker,MIN,"$4,687,500"
James Bouknight,CHO,"$4,570,080"
Jalen Williams,OKC,"$4,558,680"
Saddiq Bey,ATL,"$4,556,983"
Gradey Dick,TOR,"$4,536,720"
Jalen McDaniels,TOR,"$4,516,000"
Taurean Prince,LAL,"$4,516,000"
Precious Achiuwa,TOR,"$4,379,527"
Tyrese Maxey,PHI,"$4,343,920"
Joshua Primo,SAS,"$4,341,600"
Jalen Duren,DET,"$4,330,680"
Dewayne Dedmon,PHI,"$7,072,674"
Danuel House Jr.,PHI,"$4,310,250"
Jordan Hawkins,NOP,"$4,310,160"
Zeke Nnaji,DEN,"$4,306,281"
Immanuel Quickley,NYK,"$4,171,548"
Chris Duarte,SAC,"$4,124,400"
Ochai Agbaji,UTA,"$4,114,200"
Kobe Bufkin,ATL,"$4,094,280"
Payton Pritchard,BOS,"$4,037,277"
Seth Curry,DAL,"$4,000,000"
Dwight Powell,DAL,"$4,000,000"
Troy Brown Jr.,MIN,"$4,000,000"
Moses Moody,GSW,"$3,918,480"
Mark Williams,CHO,"$3,908,160"
Jaden McDaniels,MIN,"$3,901,399"
Keyonte George,UTA,"$3,889,800"
Malachi Flynn,TOR,"$3,873,025"
Desmond Bane,MEM,"$3,845,083"
Russell Westbrook,LAC,"$3,835,738"
Kevin Love,MIA,"$3,835,738"
Corey Kispert,WAS,"$3,722,040"
AJ Griffin,ATL,"$3,712,920"
Jalen Hood-Schifino,LAL,"$3,695,040"
Amir Coffey,LAC,"$3,666,667"
Alperen Şengün,HOU,"$3,536,280"
Tari Eason,HOU,"$3,527,160"
Jaime Jaquez Jr.,MIA,"$3,510,600"
Mike Muscala,WAS,"$3,500,000"
Andre Drummond,CHI,"$3,360,000"
Derrick Jones Jr.,CHI,"$3,360,000"
Trey Murphy III,NOP,"$3,359,280"
Brandin Podziemski,GSW,"$3,352,440"
Dalen Terry,CHI,"$3,350,760"
Cam Whitmore,HOU,"$3,218,160"
Jake LaRavia,MEM,"$3,199,920"
Derrick Rose,MEM,"$3,196,448"
Eric Gordon,PHO,"$3,196,448"
Tre Mann,OKC,"$3,191,400"
Noah Clowney,BRK,"$3,089,520"
Malaki Branham,SAS,"$3,071,880"
Kai Jones,CHO,"$3,047,880"
Simone Fontecchio,UTA,"$3,044,872"
Julian Champagnie,SAS,"$3,000,000"
Jordan Nwora,IND,"$3,000,000"
Dante Exum,DAL,"$3,000,000"
Kevin Knox,POR,"$3,000,000"
Dariq Whitehead,BRK,"$2,966,040"
Christian Braun,DEN,"$2,949,120"
Jalen Johnson,ATL,"$2,925,360"
Josh Richardson,MIA,"$2,891,467"
Kris Murray,POR,"$2,847,480"
Andrew Nicholson,POR,"$2,844,430"
Walker Kessler,UTA,"$2,831,160"
Josh Okogie,PHO,"$2,815,937"
Keon Johnson,POR,"$2,808,720"
Omer Yurtseven,UTA,"$2,800,000"
Dewayne Dedmon,DET,"$7,072,674"
Olivier-Maxence Prosper,DAL,"$2,733,720"
David Roddy,MEM,"$2,718,240"
Isaiah Jackson,IND,"$2,696,280"
Marcus Sasser,DET,"$2,624,040"
MarJon Beauchamp,MIL,"$2,609,400"
Charles Bassey,SAS,"$2,600,000"
Usman Garuba,OKC,"$2,588,400"
Damian Jones,CLE,"$2,586,665"
Kris Dunn,UTA,"$2,586,665"
Bruno Fernando,ATL,"$2,581,522"
Willy Hernangómez,NOP,"$2,559,942"
Ben Sheppard,IND,"$2,537,160"
Thomas Bryant,MIA,"$2,528,233"
Torrey Craig,CHI,"$2,528,233"
Damion Lee,PHO,"$2,528,233"
Blake Wesley,SAS,"$2,504,640"
Josh Christopher,MEM,"$2,485,200"
Nick Smith Jr.,CHO,"$2,463,960"
Brice Sensabaugh,UTA,"$2,448,600"
Ty Jerome,CLE,"$2,439,025"
Julian Strawther,DEN,"$2,431,080"
Wendell Moore Jr.,MIN,"$2,421,720"
Kobe Brown,LAC,"$2,413,320"
Luke Kornet,BOS,"$2,413,304"
John Konchar,MEM,"$2,400,000"
Quentin Grimes,NYK,"$2,385,720"
Nikola Jović,MIA,"$2,352,000"
Drew Eubanks,PHO,"$2,346,614"
Keita Bates-Diop,PHO,"$2,346,614"
Yuta Watanabe,PHO,"$2,346,614"
Patrick Baldwin Jr.,WAS,"$2,337,720"
TyTy Washington Jr.,OKC,"$2,320,440"
Jordan McLaughlin,MIN,"$2,320,000"
Bones Hyland,LAC,"$2,306,400"
Peyton Watson,DEN,"$2,303,520"
Cam Thomas,BRK,"$2,240,160"
Vlatko Čančar,DEN,"$2,234,359"
Jaden Springer,PHI,"$2,226,240"
Day'Ron Sharpe,BRK,"$2,210,040"
Santi Aldama,MEM,"$2,194,200"
Jaxson Hayes,LAL,"$2,165,000"
Cam Reddish,LAL,"$2,165,000"
Oshae Brissett,BOS,"$2,165,000"
Andrew Nembhard,IND,"$2,131,905"
Goga Bitadze,ORL,"$2,066,585"
Luka Šamanić,UTA,"$2,066,585"
Isaiah Roby,NYK,"$2,066,585"
DaQuan Jeffries,NYK,"$2,066,585"
Dalano Banton,BOS,"$2,019,706"
Colby Jones,SAC,"$2,019,706"
Jeff Dowtin,TOR,"$2,019,706"
Alex Len,SAC,"$2,019,706"
Bol Bol,PHO,"$2,019,706"
Chimezie Metu,PHO,"$2,019,706"
Montrezl Harrell,PHI,"$2,019,706"
Patrick Beverley,PHI,"$2,019,706"
Mo Bamba,PHI,"$2,019,706"
Cody Zeller,NOP,"$2,019,706"
Jae Crowder,MIL,"$2,019,706"
Malik Beasley,MIL,"$2,019,706"
Robin Lopez,MIL,"$2,019,706"
Dario Šarić,GSW,"$2,019,706"
Cory Joseph,GSW,"$2,019,706"
DeAndre Jordan,DEN,"$2,019,706"
Justin Holiday,DEN,"$2,019,706"
Darius Bazley,BRK,"$2,019,706"
Lonnie Walker IV,BRK,"$2,019,706"
Dennis Smith Jr.,BRK,"$2,019,706"
Wesley Matthews,ATL,"$2,019,706"
Aaron Holiday,HOU,"$2,019,706"
Caleb Houstan,ORL,"$2,000,000"
Jaylin Williams,OKC,"$2,000,000"
Garrison Mathews,ATL,"$2,000,000"
Anthony Gill,WAS,"$1,997,238"
Isaiah Joe,OKC,"$1,997,238"
Sam Merrill,CLE,"$1,997,238"
Naji Marshall,NOP,"$1,930,681"
Xavier Tillman Sr.,MEM,"$1,930,681"
Kenyon Martin Jr.,LAC,"$1,930,681"
Sam Hauser,BOS,"$1,927,896"
Kessler Edwards,SAC,"$1,927,896"
Ish Wainright,PHO,"$1,927,896"
Jericho Sims,NYK,"$1,927,896"
Jordan Goodwin,PHO,"$1,927,896"
Carlik Jones,CHI,"$1,927,896"
Haywood Highsmith,MIA,"$1,902,137"
A.J. Green,MIL,"$1,901,769"
Jeremiah Robinson-Earl,OKC,"$1,900,000"
Trendon Watford,POR,"$1,836,096"
Miles McBride,NYK,"$1,836,096"
Isaiah Todd,MEM,"$1,836,096"
Brandon Boston Jr.,LAC,"$1,836,096"
Isaiah Livers,DET,"$1,836,096"
Aaron Wiggins,OKC,"$1,836,096"
Jose Alvarado,NOP,"$1,836,096"
Jason Preston,LAC,"$1,836,096"
JT Thor,CHO,"$1,836,096"
Jack White,OKC,"$1,801,769"
E.J. Liddell,NOP,"$1,801,769"
Orlando Robinson,MIA,"$1,801,769"
Kennedy Chandler,MEM,"$1,719,864"
Jaden Hardy,DAL,"$1,719,864"
Xavier Cooks,WAS,"$1,719,864"
Ryan Rollins,WAS,"$1,719,864"
Christian Koloko,TOR,"$1,719,864"
Josh Minott,MIN,"$1,719,864"
Kenneth Lofton Jr.,MEM,"$1,719,864"
Max Christie,LAL,"$1,719,864"
Bryce McGowens,CHO,"$1,719,864"
Jabari Walker,POR,"$1,719,864"
Julian Phillips,CHI,"$1,600,000"
Eric Bledsoe,POR,"$1,300,000"
Jordan Walsh,BOS,"$1,119,563"
Rayan Rupert,POR,"$1,119,563"
Mouhamed Gueye,ATL,"$1,119,563"
Nik Stauskas,IND,"$702,311"
Juwan Morgan,IND,"$576,230"
Malik Fitts,IND,"$555,217"
Lamar Stevens,SAS,"$400,000"
Nerlens Noel,SAC,"$300,000"
Didi Louzada,POR,"$268,032"
Neemias Queta,SAC,"$250,000"
Demetrius Jackson,BOS,"$92,857"
